Go to definition                    | gd
Show references                     | gr
Show cheatsheet                     | qq
Do codeaction                       | do
Cycle focused windows               | <tab>
Open floating terminal              | <space>l
Close floating terminal             | <esc>
Open clipboard history              | <space>a
Live grep                           | <space>s
Toggle symbols sidebar              | <space>d
Find open buffer                    | <space>f
Reveal current file                 | <space>h
Toggle file explorer                | <space>j
Save current buffer                 | <space>k
Clear find highlighting             | <space>;
Yank to system clipboard            | <space>yy
Put from system clipboard           | <space>pp
Show git blame                      | <space>b
Rename symbol                       | <space>r
Put on newline                      | <space>p
Delete without yanking              | <space>xd
Reload config and install plugins   | <space>rs
Close buffer                        | <space>q
Close window                        | <space>w
Find files                          | <space><space>
Next buffer                         | <c-j>
Previous buffer                     | <c-k>
Close buffer                        | <c-q>
Close window                        | <c-w>
Return to Normal mode from Insert   | jj 
Project-wide find & replace         | <c-f>
